age,annual_income_usd,savings_rate_pct,debt_to_income_ratio,investment_horizon_years,investment_experience,investment_goal,risk_tier
41,90000,15.9,0.29,15,Intermediate,Retirement,Medium
49,60000,19.7,0.18,20,Advanced,Wealth building,Medium
28,110000,23.5,0.38,15,Beginner,Retirement,High
65,180000,16.4,0.3,10,Beginner,Retirement,Medium
29,90000,8.8,0.34,10,Beginner,Retirement,Medium
56,45000,15.8,0.31,15,Advanced,Wealth building,Medium
35,60000,10.6,0.31,10,Beginner,Education,Medium
38,45000,16.0,0.4,5,Intermediate,Income,Medium
57,90000,27.0,0.67,25,Intermediate,Retirement,Medium
61,110000,20.0,0.47,10,Beginner,Emergency fund,Medium
25,140000,15.7,0.31,25,Beginner,Emergency fund,High
23,75000,19.9,0.23,25,Beginner,Wealth building,High
27,140000,20.5,0.25,20,Advanced,Emergency fund,High
63,110000,5.4,0.09,15,Intermediate,Retirement,Medium
25,60000,14.3,0.38,10,Intermediate,Wealth building,Medium
50,110000,34.5,0.13,25,Intermediate,Wealth building,Medium
39,60000,23.7,0.22,20,Intermediate,Retirement,High
47,60000,10.0,0.38,20,Intermediate,Emergency fund,Medium
65,90000,9.2,0.24,5,Beginner,Wealth building,Low
55,60000,8.9,0.21,30,Beginner,Retirement,Medium
31,90000,20.9,0.1,5,Beginner,Wealth building,Medium
57,90000,26.9,0.46,15,Intermediate,Education,Medium
35,75000,18.7,0.16,15,Beginner,Education,Medium
52,75000,15.3,0.19,5,Intermediate,Emergency fund,Medium
36,75000,10.4,0.01,20,Beginner,Wealth building,High
29,90000,16.6,0.28,25,Advanced,Wealth building,High
35,75000,7.4,0.23,25,Beginner,Wealth building,Medium
44,75000,0.0,0.31,25,Beginner,Retirement,Medium
61,30000,27.1,0.1,20,Advanced,Wealth building,Medium
42,90000,6.0,0.39,20,Intermediate,Wealth building,Medium
37,45000,11.4,0.0,5,Advanced,Wealth building,Medium
66,90000,19.3,0.27,20,Beginner,Income,Medium
39,90000,25.5,0.3,10,Beginner,Education,Medium
45,75000,16.1,0.29,15,Intermediate,Retirement,Medium
47,75000,4.5,0.3,15,Advanced,Retirement,Medium
46,140000,11.6,0.4,15,Beginner,Retirement,Medium
66,110000,8.6,0.48,20,Advanced,Emergency fund,Low
62,140000,13.7,0.26,30,Intermediate,Emergency fund,High
50,110000,23.9,0.13,15,Advanced,Income,Medium
36,45000,0.0,0.36,30,Beginner,Wealth building,Medium
66,45000,10.7,0.24,25,Beginner,Education,Medium
22,75000,10.1,0.47,20,Advanced,Wealth building,Medium
46,60000,3.9,0.19,20,Advanced,Education,Medium
28,75000,18.7,0.15,10,Intermediate,Emergency fund,Medium
30,75000,2.7,0.3,25,Beginner,Emergency fund,Medium
45,75000,3.6,0.02,20,Beginner,Wealth building,Medium
22,90000,20.8,0.21,30,Intermediate,Emergency fund,High
65,90000,26.0,0.23,20,Beginner,Wealth building,Medium
29,75000,13.4,0.31,25,Beginner,Retirement,Medium
45,110000,4.3,0.13,25,Beginner,Retirement,Medium
32,75000,8.4,0.15,15,Intermediate,Wealth building,Medium
38,140000,22.1,0.45,10,Beginner,Wealth building,Medium
29,30000,14.9,0.28,15,Intermediate,Retirement,Medium
56,140000,13.2,0.41,15,Intermediate,Retirement,Medium
56,90000,16.5,0.2,10,Intermediate,Retirement,Low
54,75000,13.7,0.27,30,Intermediate,Wealth building,Medium
26,45000,26.4,0.31,20,Beginner,Retirement,High
63,75000,8.0,0.54,30,Intermediate,Retirement,Medium
60,45000,7.1,0.25,25,Advanced,Retirement,Medium
62,45000,2.9,0.26,20,Intermediate,Retirement,Medium
49,90000,9.7,0.44,30,Advanced,Education,Medium
28,75000,5.3,0.22,20,Intermediate,Retirement,Medium
30,90000,15.7,0.32,30,Intermediate,Emergency fund,High
29,140000,14.2,0.43,15,Beginner,Wealth building,Medium
33,75000,5.4,0.19,15,Intermediate,Income,Medium
55,90000,18.7,0.33,15,Intermediate,Retirement,Medium
54,45000,26.1,0.54,20,Beginner,Retirement,Medium
44,90000,16.9,0.42,20,Intermediate,Retirement,Medium
45,75000,0.0,0.32,20,Beginner,Retirement,Medium
58,180000,29.9,0.25,15,Intermediate,Emergency fund,Medium
56,110000,20.0,0.19,30,Intermediate,Retirement,High
65,75000,29.7,0.13,20,Intermediate,Retirement,Medium
61,45000,22.7,0.51,15,Advanced,Education,Medium
43,110000,24.3,0.48,20,Beginner,Wealth building,Medium
48,110000,15.6,0.18,25,Beginner,Retirement,Medium
56,45000,11.9,0.33,30,Beginner,Retirement,Medium
22,60000,17.0,0.3,20,Advanced,Retirement,High
56,110000,8.3,0.46,10,Intermediate,Income,Low
58,45000,17.5,0.34,15,Intermediate,Education,Medium
35,140000,0.0,0.28,15,Beginner,Education,Medium
24,75000,14.3,0.2,30,Intermediate,Income,High
22,45000,24.8,0.33,15,Beginner,Wealth building,High
26,110000,14.8,0.23,30,Intermediate,Retirement,High
47,60000,27.8,0.31,20,Advanced,Wealth building,High
35,75000,11.9,0.27,30,Intermediate,Emergency fund,High
60,45000,22.0,0.22,5,Intermediate,Education,Low
48,30000,7.0,0.13,30,Intermediate,Wealth building,High
30,90000,21.7,0.36,30,Intermediate,Wealth building,High
36,75000,15.9,0.29,30,Intermediate,Income,High
36,90000,12.2,0.55,5,Intermediate,Retirement,Low
47,110000,0.0,0.13,10,Beginner,Education,Low
63,90000,12.0,0.37,20,Beginner,Retirement,Medium
34,45000,15.7,0.27,5,Intermediate,Wealth building,Medium
53,60000,20.6,0.59,5,Intermediate,Retirement,Low
60,140000,26.5,0.36,10,Beginner,Emergency fund,Medium
53,110000,30.3,0.33,20,Intermediate,Wealth building,High
25,75000,24.0,0.27,20,Beginner,Wealth building,High
51,60000,9.5,0.17,5,Beginner,Education,Low
58,60000,11.6,0.33,10,Intermediate,Emergency fund,Low
44,90000,19.9,0.07,20,Intermediate,Emergency fund,High
60,110000,18.2,0.08,20,Intermediate,Retirement,Medium
66,90000,27.0,0.43,10,Intermediate,Education,Medium
36,110000,33.8,0.02,15,Advanced,Retirement,High
64,110000,32.1,0.23,30,Intermediate,Retirement,Medium
50,45000,26.0,0.12,30,Beginner,Retirement,High
57,75000,18.2,0.22,30,Beginner,Wealth building,Medium
34,45000,24.8,0.31,30,Beginner,Education,High
53,60000,27.3,0.43,15,Advanced,Retirement,Medium
28,110000,12.8,0.46,20,Beginner,Wealth building,Medium
43,75000,9.7,0.14,15,Beginner,Education,Medium
49,75000,7.9,0.21,20,Beginner,Emergency fund,Medium
23,45000,7.0,0.89,15,Advanced,Education,Medium
63,60000,2.9,0.24,20,Beginner,Retirement,Low
66,60000,16.0,0.15,20,Advanced,Emergency fund,Medium
27,60000,6.0,0.17,5,Beginner,Retirement,Medium
49,90000,7.7,0.24,25,Beginner,Income,Medium
49,60000,19.6,0.22,5,Beginner,Wealth building,Medium
65,90000,15.5,0.24,15,Advanced,Emergency fund,Medium
65,30000,17.4,0.28,5,Advanced,Retirement,Low
41,45000,24.9,0.28,15,Beginner,Retirement,Medium
51,60000,20.9,0.14,5,Beginner,Retirement,Medium
32,90000,26.2,0.34,30,Intermediate,Wealth building,High
49,90000,14.6,0.3,15,Beginner,Retirement,Medium
46,75000,26.9,0.35,15,Beginner,Emergency fund,Medium
60,75000,16.9,0.02,15,Beginner,Retirement,Medium
54,90000,15.3,0.3,20,Beginner,Education,Medium
22,30000,25.7,0.0,25,Beginner,Retirement,High
48,60000,7.0,0.25,20,Beginner,Retirement,Medium
34,110000,30.2,0.38,25,Beginner,Education,High
62,90000,11.7,0.44,30,Advanced,Emergency fund,Medium
24,60000,4.3,0.33,25,Beginner,Wealth building,Medium
60,140000,19.2,0.38,20,Intermediate,Retirement,Medium
27,110000,11.0,0.24,10,Beginner,Emergency fund,Medium
29,60000,30.2,0.2,20,Intermediate,Wealth building,High
48,90000,10.5,0.68,20,Beginner,Retirement,Low
30,90000,16.5,0.4,25,Intermediate,Emergency fund,High
58,75000,2.6,0.1,25,Beginner,Wealth building,Medium
54,60000,20.5,0.02,25,Advanced,Retirement,High
63,60000,7.8,0.21,25,Beginner,Income,Medium
65,90000,19.5,0.46,5,Beginner,Education,Low
45,75000,10.6,0.29,5,Advanced,Retirement,Low
36,110000,0.0,0.0,10,Intermediate,Wealth building,Medium
53,90000,15.0,0.25,30,Beginner,Retirement,High
53,30000,14.7,0.28,25,Advanced,Education,Medium
45,90000,21.0,0.0,20,Beginner,Emergency fund,High
62,60000,26.4,0.28,25,Beginner,Retirement,Medium
33,90000,29.3,0.13,25,Advanced,Retirement,High
60,90000,20.9,0.0,30,Beginner,Retirement,High
23,60000,16.2,0.52,25,Advanced,Wealth building,High
24,75000,2.6,0.12,20,Beginner,Emergency fund,Medium
58,45000,15.6,0.18,20,Intermediate,Retirement,Medium
38,30000,15.7,0.18,10,Intermediate,Retirement,Medium
23,60000,12.4,0.28,20,Advanced,Retirement,High
23,60000,19.1,0.54,15,Intermediate,Retirement,Medium
49,180000,23.0,0.1,10,Beginner,Wealth building,Medium
44,75000,7.5,0.23,25,Intermediate,Wealth building,High
58,60000,7.3,0.3,20,Beginner,Emergency fund,Low
53,90000,12.9,0.15,30,Intermediate,Income,High
54,45000,9.1,0.23,15,Advanced,Income,Medium
22,180000,0.9,0.37,20,Intermediate,Wealth building,High
40,90000,6.0,0.17,15,Intermediate,Emergency fund,Medium
23,90000,4.1,0.23,10,Beginner,Income,Medium
65,45000,23.7,0.22,15,Intermediate,Retirement,Low
47,75000,27.6,0.26,15,Beginner,Retirement,Medium
53,75000,5.2,0.32,10,Intermediate,Retirement,Low
27,110000,18.4,0.37,15,Beginner,Wealth building,Medium
53,30000,21.0,0.57,10,Intermediate,Education,Low
25,60000,2.1,0.0,25,Beginner,Wealth building,High
32,180000,15.3,0.25,5,Intermediate,Wealth building,Medium
38,75000,34.3,0.08,20,Beginner,Wealth building,High
59,75000,19.4,0.22,25,Advanced,Retirement,Medium
45,45000,12.0,0.41,20,Beginner,Retirement,Medium
26,180000,9.5,0.46,30,Intermediate,Retirement,High
55,30000,0.0,0.47,25,Beginner,Retirement,Medium
27,90000,17.8,0.47,25,Intermediate,Education,High
43,110000,29.6,0.25,10,Beginner,Education,Medium
32,60000,7.5,0.49,25,Intermediate,Education,High
37,90000,0.0,0.52,25,Beginner,Emergency fund,Medium
54,45000,8.7,0.3,15,Intermediate,Education,Medium
30,60000,21.1,0.46,10,Beginner,Emergency fund,Medium
27,110000,10.6,0.29,15,Beginner,Emergency fund,Medium
37,110000,7.4,0.49,25,Intermediate,Emergency fund,Medium
50,90000,14.2,0.26,15,Beginner,Wealth building,Medium
24,75000,15.8,0.19,25,Beginner,Wealth building,High
41,45000,2.9,0.11,10,Advanced,Emergency fund,Medium
57,30000,12.3,0.25,25,Advanced,Retirement,Medium
40,45000,10.0,0.29,10,Intermediate,Wealth building,Medium
47,60000,8.9,0.14,10,Beginner,Wealth building,Low
24,60000,5.9,0.24,20,Beginner,Retirement,High
40,75000,21.5,0.2,5,Intermediate,Income,Medium
41,60000,8.8,0.12,5,Beginner,Retirement,Medium
53,60000,0.0,0.44,10,Advanced,Retirement,Low
28,75000,16.1,0.46,20,Beginner,Retirement,High
62,110000,19.8,0.43,30,Advanced,Education,Medium
54,60000,7.6,0.27,25,Intermediate,Wealth building,Medium
61,140000,9.5,0.28,20,Intermediate,Emergency fund,Medium
60,110000,8.8,0.12,5,Beginner,Education,Low
39,45000,11.2,0.34,20,Advanced,Retirement,High
61,110000,22.9,0.31,25,Beginner,Retirement,Medium
22,75000,13.1,0.71,15,Intermediate,Retirement,Medium
32,75000,20.7,0.44,10,Advanced,Emergency fund,Medium
49,75000,6.2,0.33,10,Beginner,Emergency fund,Low
46,75000,10.9,0.27,25,Intermediate,Retirement,High
44,75000,21.6,0.43,15,Intermediate,Retirement,Medium
52,75000,7.6,0.14,25,Beginner,Retirement,Medium
51,90000,22.1,0.45,15,Intermediate,Emergency fund,Medium
63,90000,9.0,0.12,10,Beginner,Retirement,Low
56,75000,11.4,0.2,15,Beginner,Retirement,Medium
28,90000,27.4,0.0,15,Intermediate,Wealth building,High
37,45000,10.5,0.37,5,Intermediate,Emergency fund,Low
47,60000,15.2,0.32,10,Beginner,Emergency fund,Low
23,110000,18.9,0.2,10,Advanced,Wealth building,High
22,60000,15.8,0.14,10,Advanced,Emergency fund,High
33,30000,16.0,0.49,15,Intermediate,Wealth building,Medium
26,45000,13.5,0.26,30,Intermediate,Income,High
58,60000,3.6,0.16,20,Beginner,Retirement,Medium
53,140000,16.8,0.57,20,Intermediate,Emergency fund,Medium
30,75000,8.1,0.18,15,Intermediate,Wealth building,Medium
62,140000,20.2,0.45,15,Beginner,Retirement,Medium
56,75000,25.0,0.11,5,Intermediate,Emergency fund,Low
40,75000,0.0,0.23,20,Beginner,Retirement,Medium
37,60000,25.0,0.36,20,Beginner,Wealth building,Medium
24,90000,10.7,0.27,10,Intermediate,Wealth building,Medium
41,45000,13.0,0.32,25,Intermediate,Retirement,Medium
45,140000,6.7,0.2,20,Intermediate,Wealth building,Medium
54,110000,15.5,0.04,15,Intermediate,Wealth building,Medium
45,60000,14.5,0.5,10,Advanced,Emergency fund,Medium
32,140000,22.6,0.21,20,Intermediate,Education,High
29,110000,8.1,0.32,25,Intermediate,Retirement,Medium
57,90000,27.3,0.39,15,Beginner,Wealth building,Medium
59,45000,19.3,0.33,10,Beginner,Education,Low
61,75000,14.7,0.17,20,Beginner,Retirement,Medium
41,75000,12.6,0.45,10,Intermediate,Wealth building,Medium
56,60000,11.5,0.36,20,Intermediate,Education,Medium
46,30000,12.1,0.31,20,Beginner,Emergency fund,Medium
56,110000,15.3,0.31,5,Beginner,Retirement,Medium
46,45000,12.3,0.53,5,Beginner,Wealth building,Low
50,90000,8.9,0.17,20,Beginner,Wealth building,Medium
39,140000,15.4,0.34,15,Advanced,Income,Medium
67,110000,7.3,0.2,5,Intermediate,Retirement,Low
39,60000,16.6,0.0,25,Beginner,Income,High
23,110000,12.2,0.0,15,Intermediate,Wealth building,High
56,30000,19.6,0.13,15,Intermediate,Retirement,Medium
37,30000,21.9,0.18,10,Intermediate,Wealth building,Medium
62,90000,21.9,0.61,20,Beginner,Emergency fund,Medium
57,60000,16.5,0.38,15,Intermediate,Retirement,Medium
54,75000,17.5,0.4,30,Beginner,Retirement,High
25,75000,11.4,0.18,25,Advanced,Education,High
54,45000,19.4,0.29,10,Intermediate,Income,Medium
35,60000,20.3,0.63,15,Intermediate,Retirement,Medium
42,75000,1.5,0.1,15,Beginner,Retirement,Medium
41,90000,17.0,0.35,20,Beginner,Education,Medium
29,90000,24.9,0.52,25,Beginner,Emergency fund,High
28,60000,11.1,0.42,20,Advanced,Retirement,High
24,75000,9.4,0.55,5,Beginner,Income,Medium
38,45000,10.6,0.31,20,Beginner,Retirement,Medium
54,30000,2.0,0.37,5,Advanced,Emergency fund,Low
33,110000,15.0,0.3,25,Intermediate,Wealth building,High
43,60000,14.2,0.36,20,Intermediate,Wealth building,Medium
43,45000,15.6,0.14,15,Beginner,Retirement,Medium
67,90000,17.3,0.4,15,Intermediate,Emergency fund,Low
51,90000,7.6,0.32,25,Beginner,Income,Medium
59,90000,16.2,0.29,25,Intermediate,Wealth building,Medium
59,60000,17.5,0.54,15,Beginner,Wealth building,Low
66,60000,10.1,0.24,15,Intermediate,Retirement,Low
29,60000,17.4,0.46,20,Intermediate,Education,High
48,45000,14.6,0.48,5,Intermediate,Income,Low
48,90000,9.0,0.41,5,Intermediate,Education,Low
55,110000,16.3,0.14,10,Beginner,Wealth building,Low
42,90000,11.7,0.33,10,Beginner,Income,Medium
51,110000,19.6,0.57,20,Intermediate,Retirement,Medium
54,75000,12.1,0.01,30,Intermediate,Wealth building,High
49,90000,3.7,0.25,20,Advanced,Wealth building,Medium
54,60000,16.1,0.45,5,Intermediate,Wealth building,Medium
26,75000,15.8,0.26,20,Intermediate,Education,High
40,75000,5.4,0.4,20,Advanced,Emergency fund,Medium
25,45000,20.0,0.49,10,Beginner,Retirement,Medium
56,75000,19.6,0.31,30,Intermediate,Retirement,Medium
38,180000,7.0,0.36,15,Beginner,Retirement,Medium
65,60000,8.7,0.29,30,Beginner,Wealth building,Medium
49,45000,12.9,0.32,15,Intermediate,Retirement,Medium
51,75000,7.9,0.6,20,Intermediate,Retirement,Medium
50,110000,19.1,0.27,10,Intermediate,Emergency fund,Medium
67,90000,15.2,0.23,15,Intermediate,Education,Medium
27,90000,5.3,0.44,10,Intermediate,Income,Medium
56,45000,7.4,0.15,25,Beginner,Income,Medium
62,90000,23.5,0.19,25,Intermediate,Education,Medium
58,60000,26.3,0.19,25,Intermediate,Retirement,High
45,110000,18.3,0.24,25,Advanced,Education,High
50,90000,12.3,0.25,25,Beginner,Wealth building,Medium
67,45000,10.5,0.38,10,Beginner,Emergency fund,Low
52,30000,18.4,0.23,15,Intermediate,Wealth building,Medium
56,30000,14.6,0.39,20,Advanced,Education,Medium
54,60000,1.1,0.41,20,Intermediate,Wealth building,Low
42,60000,22.3,0.18,25,Intermediate,Retirement,High
53,90000,24.8,0.41,10,Advanced,Wealth building,Medium
44,75000,19.9,0.42,5,Advanced,Retirement,Medium
54,60000,5.3,0.02,30,Intermediate,Income,High
24,45000,8.9,0.32,20,Intermediate,Wealth building,Medium
39,45000,0.0,0.2,10,Beginner,Wealth building,Medium
46,110000,26.8,0.48,25,Advanced,Income,High
63,60000,11.1,0.2,30,Intermediate,Emergency fund,Medium
52,90000,32.7,0.08,10,Advanced,Retirement,Medium
24,110000,29.6,0.28,25,Beginner,Retirement,High
61,90000,6.8,0.15,30,Intermediate,Wealth building,Medium
67,110000,8.3,0.41,30,Intermediate,Education,Medium
45,75000,17.7,0.16,30,Intermediate,Education,High
53,140000,0.0,0.28,20,Beginner,Income,Medium
43,45000,10.5,0.51,15,Intermediate,Retirement,Medium
44,45000,9.7,0.44,5,Intermediate,Retirement,Low
23,90000,28.8,0.35,5,Intermediate,Retirement,Medium
48,140000,15.3,0.26,15,Beginner,Education,Medium
63,110000,11.7,0.34,15,Intermediate,Retirement,Medium
23,30000,8.9,0.38,10,Beginner,Retirement,Medium
47,60000,21.2,0.13,15,Beginner,Wealth building,Medium
38,140000,10.0,0.41,10,Intermediate,Wealth building,Medium
61,60000,13.6,0.11,25,Advanced,Emergency fund,Medium
54,110000,8.9,0.37,15,Intermediate,Wealth building,Medium
30,110000,1.9,0.11,20,Intermediate,Wealth building,High
64,75000,6.0,0.57,20,Beginner,Wealth building,Medium
60,75000,10.0,0.39,5,Intermediate,Education,Low
50,75000,11.9,0.05,30,Beginner,Wealth building,High
63,60000,12.2,0.28,20,Advanced,Retirement,Medium
47,140000,13.3,0.2,15,Advanced,Retirement,Medium
56,75000,10.1,0.18,10,Intermediate,Retirement,Medium
46,140000,24.8,0.3,15,Intermediate,Education,Medium
45,45000,21.6,0.14,5,Intermediate,Retirement,Medium
34,180000,12.9,0.39,15,Intermediate,Income,Medium
28,75000,16.0,0.39,20,Beginner,Retirement,Medium
57,30000,11.0,0.33,25,Beginner,Education,Medium
66,30000,0.0,0.28,20,Intermediate,Education,Medium
41,90000,14.2,0.38,10,Advanced,Wealth building,Medium
22,90000,16.4,0.4,10,Beginner,Emergency fund,Medium
29,110000,1.1,0.35,15,Beginner,Retirement,Medium
67,45000,18.0,0.08,10,Intermediate,Wealth building,Medium
37,30000,11.8,0.16,5,Advanced,Retirement,Medium
35,75000,16.7,0.24,25,Beginner,Wealth building,High
33,75000,12.0,0.06,5,Beginner,Education,Medium
44,75000,24.0,0.31,25,Intermediate,Retirement,Medium
36,180000,15.8,0.49,10,Intermediate,Education,Medium
49,180000,22.0,0.47,30,Beginner,Wealth building,High
55,140000,22.7,0.39,20,Beginner,Wealth building,Medium
23,110000,5.0,0.39,25,Intermediate,Income,High
53,60000,8.1,0.61,10,Intermediate,Emergency fund,Low
44,75000,17.6,0.41,25,Advanced,Emergency fund,High
43,75000,11.1,0.42,25,Intermediate,Emergency fund,High
46,110000,12.1,0.06,20,Beginner,Income,Medium
43,30000,24.3,0.48,20,Intermediate,Retirement,Medium
43,75000,11.5,0.34,25,Intermediate,Emergency fund,Medium
63,45000,6.2,0.27,5,Beginner,Wealth building,Low
27,75000,7.3,0.23,20,Advanced,Retirement,High
36,140000,31.5,0.2,25,Advanced,Retirement,High
64,110000,12.6,0.47,15,Beginner,Retirement,Low
58,60000,3.1,0.28,10,Beginner,Wealth building,Low
54,180000,0.0,0.2,15,Beginner,Education,Medium
29,90000,9.0,0.16,25,Beginner,Education,High
65,30000,12.4,0.31,10,Intermediate,Wealth building,Low
65,60000,21.6,0.23,10,Intermediate,Retirement,Medium
26,60000,20.8,0.19,10,Advanced,Retirement,High
60,30000,13.9,0.07,25,Beginner,Wealth building,Medium
25,140000,10.4,0.42,5,Intermediate,Emergency fund,Medium
27,75000,16.7,0.26,20,Advanced,Retirement,High
66,140000,0.0,0.12,15,Intermediate,Wealth building,Medium
53,60000,29.8,0.24,25,Beginner,Income,Medium
51,45000,19.2,0.36,30,Beginner,Emergency fund,High
56,75000,20.9,0.28,10,Beginner,Education,Medium
61,45000,5.4,0.31,15,Advanced,Emergency fund,Low
37,75000,24.3,0.29,25,Advanced,Retirement,High
34,140000,10.3,0.09,10,Advanced,Retirement,High
63,75000,6.4,0.42,10,Advanced,Education,Low
51,90000,13.7,0.02,25,Beginner,Emergency fund,Medium
40,45000,13.5,0.35,30,Advanced,Wealth building,High
38,30000,5.4,0.37,20,Advanced,Retirement,Medium
40,45000,6.8,0.25,10,Beginner,Emergency fund,Low
49,90000,6.2,0.33,15,Beginner,Retirement,Medium
47,45000,6.3,0.24,10,Intermediate,Retirement,Medium
58,60000,10.9,0.33,25,Beginner,Retirement,Medium
47,75000,2.9,0.43,25,Beginner,Wealth building,Medium
44,75000,8.5,0.16,25,Advanced,Retirement,High
30,45000,22.4,0.38,5,Advanced,Retirement,Medium
33,60000,20.6,0.53,20,Beginner,Emergency fund,Medium
22,140000,5.6,0.32,10,Intermediate,Wealth building,Medium
22,90000,21.7,0.2,15,Advanced,Wealth building,High
55,75000,0.0,0.62,25,Intermediate,Wealth building,Medium
53,30000,33.4,0.29,10,Beginner,Income,Medium
46,180000,24.4,0.31,20,Intermediate,Retirement,High
61,90000,9.5,0.32,20,Advanced,Retirement,Medium
66,60000,17.1,0.35,30,Advanced,Emergency fund,High
22,110000,2.8,0.23,25,Beginner,Retirement,Medium
37,60000,14.5,0.31,25,Beginner,Wealth building,Medium
60,75000,12.5,0.42,20,Advanced,Wealth building,Medium
26,90000,7.3,0.22,10,Beginner,Income,Medium
43,60000,10.3,0.22,15,Intermediate,Education,Medium
50,180000,9.5,0.24,20,Beginner,Income,Medium
24,90000,4.9,0.12,20,Beginner,Retirement,Medium
33,75000,7.1,0.18,20,Intermediate,Education,Medium
47,45000,2.5,0.17,15,Beginner,Retirement,Medium
37,30000,20.9,0.28,10,Advanced,Emergency fund,Medium
58,60000,6.5,0.41,10,Beginner,Emergency fund,Low
43,90000,4.2,0.5,20,Advanced,Retirement,Medium
50,60000,20.7,0.29,20,Advanced,Emergency fund,Medium
35,75000,17.0,0.35,20,Beginner,Retirement,Medium
49,90000,20.4,0.32,15,Intermediate,Retirement,Medium
26,45000,21.3,0.0,10,Beginner,Income,Medium
51,90000,29.5,0.11,25,Intermediate,Retirement,High
67,45000,12.8,0.39,25,Intermediate,Retirement,Medium
26,180000,2.3,0.41,15,Beginner,Wealth building,Medium
33,75000,16.2,0.41,20,Intermediate,Education,Medium
37,45000,8.6,0.25,15,Intermediate,Retirement,Medium
47,60000,6.3,0.0,25,Advanced,Wealth building,High
47,75000,14.8,0.13,25,Beginner,Education,Medium
42,90000,20.9,0.15,20,Intermediate,Retirement,Medium
60,90000,7.3,0.37,20,Beginner,Retirement,Medium
57,90000,24.2,0.23,15,Advanced,Education,Medium
54,45000,6.1,0.53,20,Beginner,Wealth building,Medium
51,45000,12.0,0.5,20,Intermediate,Education,Medium
58,45000,17.1,0.53,20,Beginner,Retirement,Low
44,75000,10.9,0.14,20,Intermediate,Income,High
31,110000,0.0,0.35,5,Advanced,Income,Medium
26,75000,21.4,0.21,30,Intermediate,Retirement,High
57,45000,9.0,0.33,25,Intermediate,Retirement,Medium
55,75000,20.0,0.16,15,Intermediate,Income,Medium
52,110000,3.9,0.46,20,Advanced,Wealth building,Medium
31,90000,5.3,0.16,5,Intermediate,Wealth building,Medium
40,140000,20.9,0.0,5,Advanced,Emergency fund,Medium
53,60000,16.7,0.59,10,Intermediate,Education,Low
22,45000,10.5,0.35,20,Intermediate,Education,Medium
26,110000,16.8,0.12,25,Beginner,Retirement,High
66,90000,6.4,0.26,20,Intermediate,Retirement,Low
25,60000,14.9,0.19,20,Beginner,Education,Medium
37,90000,15.0,0.28,15,Advanced,Education,Medium
45,110000,11.0,0.4,10,Intermediate,Emergency fund,Low
